"genus_name","family_name"
"Leohumicola","Leotiomycetes_incertae_sedis"
"Monocillium","Niessliaceae"
"Vaceletia","Verticillitidae"
"Ascobulla","Volvatellidae"
"Protodinium","Gymnodiniaceae"
"Rotaria","Philodinidae"
"Oxynoe","Oxynoidae"
"Vermistella","Stygamoebida_incertae_sedis"
"Catenomyces","Catenariaceae"
"Andalucia","Andaluciidae"
"Nephroselmi","Nephroselmidaceae"
"Firoloida","Pterotracheidae"
"Squamamoeba","Dactylopodida_incertae_sedis"
"Oltmannsiellopsis","Oltmannsiellopsidaceae"
"Cyanoptyche","Palmellaceae"
"Phoronopsis","Phoronidae"
"Bigelowiella","Chlorarachniaceae"
